h,h,h,h
0.00015099305729976106,3.75927193908398e-05,9.37854350311334e-06,2.3421692193975897e-06
0.00012373182472798442,3.0805494304801525e-05,7.685282500235697e-06,1.9192993143488453e-06
0.0010599651755004542,0.00047374187629997775,0.00022168443664486026,0.00010692077861124084
0.0003712596458796612,0.0001573009409700444,7.036377874635992e-05,3.297483613853278e-05
0.0020030218701551825,0.0009148396832996825,0.00043505238522996626,0.00021185780600410368
0.0006466675769191464,0.000287210142477037,0.0001335172961716285,6.411833528911194e-05
0.0038990647483206735,0.0018015867582209001,0.0008639904100661801,0.0004228175746913732
0.0012001593234756362,0.000548224412909011,0.00026039048063726577,0.0001266809127874451
0.008903140269978143,0.004143617224580515,0.001997330032991404,0.000980330441214211
0.002675557881519905,0.0012430534176307362,0.0005979147970726394,0.00029306603798460974
s,s,s,s
0.00015099305729978797,3.759271939088667e-05,9.378543503083289e-06,2.3421692193920365e-06
0.0001237318247280229,3.080549430489516e-05,7.685282500119025e-06,1.919299314262185e-06
0.00041892558655824393,0.0001770189837178147,7.894340689558785e-05,3.6917729519710814e-05
0.0003712476430876447,0.00015727223553507882,7.034957264452814e-05,3.296805928352428e-05
0.0007171719403996513,0.00031990525341641117,0.00014890507963376983,7.153665780115355e-05
0.0006461523032317397,0.00028695793788447463,0.0001334023869601524,6.406405065923164e-05
0.001310731834248744,0.0006050049190776427,0.0002886675683107192,0.00014073520777021711
0.0011952036735606096,0.0005461614879816088,0.0002594684417269431,0.0001262464213488683
0.0028286059089802757,0.0013404234215379277,0.0006506509046466919,0.00032030915357245495
0.0026118753428226098,0.0012176852575561197,0.0005866730660695268,0.0002877828383304257
